City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc,Rain/Inches,Snow
0,Kaitangata,NZ,2020-04-20 04:25:43,-46.28,169.85,61.0,43,79,8.01,broken clouds,0.0,0.0
1,Marawi,PH,2020-04-20 04:25:44,8.0,124.29,82.49,56,97,2.48,light rain,0.81,0.0
2,Mar Del Plata,AR,2020-04-20 04:25:44,-38.0,-57.56,62.01,93,98,4.92,overcast clouds,0.0,0.0
3,Chokurdakh,RU,2020-04-20 04:22:18,70.63,147.92,9.68,95,92,11.48,overcast clouds,0.0,0.0
4,Tandil,AR,2020-04-20 04:25:44,-37.32,-59.13,57.0,90,93,2.37,overcast clouds,0.0,0.0
5,Arraial Do Cabo,BR,2020-04-20 04:25:45,-22.97,-42.03,72.48,73,75,2.57,broken clouds,0.0,0.0
6,Mamallapuram,IN,2020-04-20 04:25:45,12.63,80.17,89.6,66,40,6.93,scattered clouds,0.0,0.0
7,Kavieng,PG,2020-04-20 04:25:45,-2.57,150.8,84.33,73,30,5.17,light rain,0.43,0.0
8,Whitehorse,CA,2020-04-20 04:22:29,60.72,-135.05,51.8,43,75,10.29,broken clouds,0.0,0.0
9,Hilo,US,2020-04-20 04:22:20,19.73,-155.09,75.2,64,40,5.82,scattered clouds,0.0,0.0
10,Kirakira,SB,2020-04-20 04:25:46,-10.45,161.92,83.61,76,48,0.78,moderate rain,5.36,0.0
11,Norman Wells,CA,2020-04-20 04:25:46,65.28,-126.83,28.4,86,90,2.24,light snow,0.0,0.0
12,Rikitea,PF,2020-04-20 04:25:46,-23.12,-134.97,76.84,71,93,6.76,overcast clouds,0.0,0.0
13,Fairbanks,US,2020-04-20 04:25:46,64.84,-147.72,42.01,100,90,6.42,light rain,0.0,0.0
14,Ushuaia,AR,2020-04-20 04:25:47,-54.8,-68.3,39.2,86,90,25.28,shower rain,0.0,0.0
15,Pascagoula,US,2020-04-20 04:25:47,30.37,-88.56,73.4,88,90,11.41,thunderstorm with rain,0.0,0.0
16,Iqaluit,CA,2020-04-20 04:25:48,63.75,-68.51,-7.01,69,5,3.18,clear sky,0.0,0.0
17,Qaanaaq,GL,2020-04-20 04:25:48,77.48,-69.36,9.43,82,39,11.48,scattered clouds,0.0,0.0
18,Vengerovo,RU,2020-04-20 04:25:48,55.68,76.75,52.48,76,22,4.79,few clouds,0.0,0.0
19,Barrow,US,2020-04-20 04:25:14,71.29,-156.79,10.4,85,90,5.82,overcast clouds,0.0,0.0
20,Yellowknife,CA,2020-04-20 04:25:48,62.46,-114.35,14.0,66,75,5.82,broken clouds,0.0,0.0
21,Dinghai,CN,2020-04-20 04:25:49,26.28,119.79,68.0,68,90,11.18,overcast clouds,0.0,0.0
22,Dalby,AU,2020-04-20 04:25:49,-27.18,151.27,78.8,24,14,10.29,few clouds,0.0,0.0
23,Mahebourg,MU,2020-04-20 04:25:49,-20.41,57.7,75.2,88,40,11.41,shower rain,0.0,0.0
24,Kapaa,US,2020-04-20 04:25:50,22.08,-159.32,78.8,65,75,10.29,broken clouds,0.0,0.0
25,Ponta Do Sol,PT,2020-04-20 04:24:57,32.67,-17.1,62.01,75,9,11.99,clear sky,0.0,0.0
26,Jalu,LY,2020-04-20 04:23:50,29.03,21.55,69.19,26,66,8.86,broken clouds,0.0,0.0
27,Puerto Ayora,EC,2020-04-20 04:25:50,-0.74,-90.35,80.01,87,50,5.99,scattered clouds,0.0,0.0
28,Khatanga,RU,2020-04-20 04:24:06,71.97,102.5,31.03,95,61,5.66,broken clouds,0.0,0.0
29,Eyl,SO,2020-04-20 04:25:51,7.98,49.82,83.28,72,98,6.33,overcast clouds,0.0,0.0
30,Cape Town,ZA,2020-04-20 04:25:51,-33.93,18.42,63.0,77,75,14.99,broken clouds,0.0,0.0
31,Kuusamo,FI,2020-04-20 04:25:51,65.97,29.18,35.6,93,20,2.24,few clouds,0.0,0.0
32,Acarau,BR,2020-04-20 04:21:46,-2.89,-40.12,76.5,88,33,1.7,scattered clouds,0.0,0.0
33,Vaini,TO,2020-04-20 04:25:52,-21.2,-175.2,82.4,74,75,8.05,broken clouds,0.0,0.0
34,Te Anau,NZ,2020-04-20 04:25:52,-45.42,167.72,53.29,54,23,7.65,light rain,0.11,0.0
35,Atuona,PF,2020-04-20 04:25:52,-9.8,-139.03,82.72,75,45,12.82,scattered clouds,0.0,0.0
36,Rypefjord,NO,2020-04-20 04:25:53,70.63,23.67,39.2,82,40,41.38,scattered clouds,0.0,0.0
37,Kaseda,JP,2020-04-20 04:25:53,31.42,130.32,66.2,63,75,17.22,broken clouds,0.0,0.0
38,Busselton,AU,2020-04-20 04:25:32,-33.65,115.33,68.0,68,95,8.01,light rain,0.13,0.0
39,Punta Arenas,CL,2020-04-20 04:24:06,-53.15,-70.92,42.8,75,40,28.86,scattered clouds,0.0,0.0
40,Jamestown,US,2020-04-20 04:25:14,42.1,-79.24,39.0,74,90,10.29,overcast clouds,0.0,0.0
41,Nador,MA,2020-04-20 04:25:54,35.17,-2.93,62.6,67,0,17.22,clear sky,0.0,0.0
42,Saskylakh,RU,2020-04-20 04:25:54,71.92,114.08,22.86,95,17,2.73,few clouds,0.0,0.0
43,Porto Novo,BJ,2020-04-20 04:25:54,6.5,2.6,80.87,78,100,5.35,overcast clouds,0.0,0.0
44,Mizan Teferi,ET,2020-04-20 04:25:55,6.98,35.58,62.8,49,100,2.86,overcast clouds,0.0,0.0
45,Ribeira Grande,PT,2020-04-20 04:25:37,38.52,-28.7,56.26,58,2,7.27,clear sky,0.0,0.0
46,Pangkalanbuun,ID,2020-04-20 04:25:55,-2.68,111.62,89.55,55,37,3.94,scattered clouds,0.0,0.0
47,Saldanha,ZA,2020-04-20 04:22:29,-33.01,17.94,59.0,82,92,11.41,overcast clouds,0.0,0.0
48,Podlesnoye,RU,2020-04-20 04:25:56,51.82,47.01,41.2,70,36,3.2,scattered clouds,0.0,0.0
49,Quelimane,MZ,2020-04-20 04:23:18,-17.88,36.89,73.4,83,75,6.93,broken clouds,0.0,0.0
50,Tucuman,AR,2020-04-20 04:23:00,-26.82,-65.22,64.4,82,0,5.82,clear sky,0.0,0.0
51,Albany,US,2020-04-20 04:22:22,42.6,-73.97,50.0,73,94,1.01,light rain,1.98,0.0
52,Haines Junction,CA,2020-04-20 04:22:57,60.75,-137.51,43.29,58,74,8.57,broken clouds,0.0,0.0
53,Namatanai,PG,2020-04-20 04:25:57,-3.67,152.43,84.02,73,96,5.97,overcast clouds,0.0,0.0
54,Chiredzi,ZW,2020-04-20 04:25:57,-21.05,31.67,59.79,83,0,1.52,clear sky,0.0,0.0
55,Ahipara,NZ,2020-04-20 04:23:34,-35.17,173.17,64.58,90,100,5.86,moderate rain,4.35,0.0
56,Makakilo City,US,2020-04-20 04:24:10,21.35,-158.09,80.6,61,1,6.93,clear sky,0.0,0.0
57,Iskateley,RU,2020-04-20 04:25:57,67.68,53.15,30.67,98,95,6.85,overcast clouds,0.0,0.0
58,Sitka,US,2020-04-20 04:25:58,57.05,-135.33,44.6,81,90,3.36,overcast clouds,0.0,0.0
59,Honiara,SB,2020-04-20 04:25:58,-9.43,159.95,89.6,70,40,6.93,light thunderstorm,0.0,0.0
60,Shenjiamen,CN,2020-04-20 04:25:58,29.96,122.3,58.41,74,10,5.14,clear sky,0.0,0.0
61,Port Elizabeth,ZA,2020-04-20 04:22:09,-33.92,25.57,69.8,49,0,12.75,clear sky,0.0,0.0
62,Dandong,CN,2020-04-20 04:25:59,40.13,124.39,47.82,72,96,16.35,light rain,3.0,0.0
63,Hornepayne,CA,2020-04-20 04:25:59,49.21,-84.77,17.22,94,36,6.35,scattered clouds,0.0,0.0
64,Alofi,NU,2020-04-20 04:25:59,-19.06,-169.92,78.8,88,2,10.29,light rain,0.35,0.0
65,Provideniya,RU,2020-04-20 04:25:59,64.38,-173.3,22.59,95,100,13.62,light snow,0.0,0.36
66,Hofn,IS,2020-04-20 04:25:59,64.25,-15.21,44.28,86,99,8.84,overcast clouds,0.0,0.0
67,Vila Franca Do Campo,PT,2020-04-20 04:25:55,37.72,-25.43,53.6,66,20,9.17,few clouds,0.0,0.0
68,Naze,JP,2020-04-20 04:26:00,28.37,129.48,73.4,64,40,12.75,scattered clouds,0.0,0.0
