City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
1,Nyaunglebin,MM,74.21,scattered clouds,17.95,96.73,Royal Motel
4,Rikitea,PF,76.87,overcast clouds,-23.12,-134.97,Pension Maro'i
6,Renala Khurd,PK,75.52,few clouds,30.88,73.6,خالد کولنگ سنٹر
7,Kapaa,US,77.0,broken clouds,22.08,-159.32,Hotel Coral Reef
8,Mayo,US,64.99,clear sky,38.89,-76.51,
9,Sabang,ID,83.03,scattered clouds,5.89,95.32,Hotel Citra
11,Pisco,PE,75.99,clear sky,-13.7,-76.22,Hotel Presidente
12,Guerrero Negro,MX,67.68,broken clouds,27.98,-114.06,
13,Puerto Ayora,EC,86.0,shower rain,-0.74,-90.35,
14,Albany,US,66.0,overcast clouds,42.6,-73.97,
15,Jamestown,US,55.4,overcast clouds,42.1,-79.24,Ingjald Lodge
17,Gallup,US,59.0,broken clouds,35.53,-108.74,Hampton inn
19,Abu Dhabi,AE,86.0,overcast clouds,24.47,54.37,Ramee Garden Hotel Apartments
20,Atuona,PF,82.76,broken clouds,-9.8,-139.03,Villa Enata
23,Vaini,TO,78.8,few clouds,-21.2,-175.2,
26,Ewo,CG,75.27,overcast clouds,-0.87,14.82,Residence Elonda Ewo
27,Bathsheba,BB,86.0,few clouds,13.22,-59.52,Round House
29,Hit,IQ,76.03,clear sky,33.64,42.83,
30,Hithadhoo,MV,84.72,overcast clouds,-0.6,73.08,Rekidhiye Inn
36,Bethel,US,61.0,clear sky,41.37,-73.41,
37,Busselton,AU,55.99,broken clouds,-33.65,115.33,Busselton Motel
38,Lengshuitan,CN,61.02,broken clouds,26.41,111.6,
39,Lillooet,CA,62.6,broken clouds,50.69,-121.94,Hotel Victoria
41,Phaltan,IN,83.26,few clouds,17.98,74.43,Hotel Aaryamaan (Pure Veg Family Restaurant/Business Hotel)
42,Avarua,CK,80.6,clear sky,-21.21,-159.78,Wellesley Hotel Rarotonga
43,Planadas,CO,93.2,broken clouds,3.2,-75.65,Conjunto Los Almendros
44,Port Alfred,ZA,80.4,clear sky,-33.59,26.89,The Halyards Hotel
49,Stepnyak,KZ,50.58,overcast clouds,52.83,70.78,
52,Sidrolandia,BR,84.2,scattered clouds,-20.93,-54.96,hotel cisne azul
53,Lebu,CL,58.77,overcast clouds,-37.62,-73.65,Camping La Fortuna
54,Beloha,MG,72.59,clear sky,-25.17,45.05,
56,Hermanus,ZA,61.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
58,Mar Del Plata,AR,77.0,overcast clouds,-38.0,-57.56,Gran Hotel Panamericano
59,Menongue,AO,63.88,broken clouds,-14.66,17.69,Ritz Lauca
60,Hamilton,US,57.2,scattered clouds,39.18,-84.53,the summit hotel
61,Pallipattu,IN,76.78,broken clouds,13.34,79.44,Sri Sai Ram Hotel
64,Hilo,US,78.8,broken clouds,19.73,-155.09,Wild Ginger Inn Hotel & Hostel
65,Georgetown,MY,80.6,few clouds,5.41,100.34,Victoria Inn
66,Cape Town,ZA,63.0,broken clouds,-33.93,18.42,Adderley Hotel
68,Calbuco,CL,59.0,overcast clouds,-41.77,-73.13,Hotel Colonial
70,Pawayan,IN,74.95,clear sky,28.07,80.1,SBM TOILET
71,Lagoa,PT,57.13,scattered clouds,39.05,-27.98,Casa Das Faias
73,Banda Aceh,ID,79.43,broken clouds,5.56,95.32,Sulthan Hotel International
75,Maun,BW,77.0,clear sky,-19.98,23.42,Kamanga Safari Lodge
76,Oktyabrskoye,RU,50.0,broken clouds,43.06,44.74,
78,Abu Samrah,SY,69.33,broken clouds,35.3,37.18,
80,Komsomolskiy,UZ,57.2,clear sky,40.43,71.72,
81,Valparaiso,CL,80.6,clear sky,-33.04,-71.63,Casa Kultour B & B
85,Taltal,CL,68.9,clear sky,-25.4,-70.48,Alojamiento de Luz y Juan
86,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,3Ds International Tourist Home
88,Airai,TL,59.56,clear sky,-8.93,125.41,
93,Maple Creek,CA,55.13,broken clouds,49.92,-109.48,
94,Cidreira,BR,68.83,clear sky,-30.18,-50.21,Hotel Castelo
95,Itapirapua,BR,78.15,few clouds,-15.82,-50.61,Hotel Nossa Senhora Aparecida
97,Sorong,ID,76.48,scattered clouds,-0.88,131.25,Marina Mamberamo
100,Port Elizabeth,ZA,71.6,broken clouds,-33.92,25.57,Ibhayi Lodge
101,Pitrufquen,CL,62.6,overcast clouds,-38.98,-72.65,Pasaje juan dumont
102,Chegutu,ZW,61.56,clear sky,-18.13,30.14,Paden Pa Bond
104,Quepos,CR,82.4,moderate rain,9.42,-84.17,BongO hostel
105,Marzuq,YE,75.56,overcast clouds,14.4,46.47,
107,Castro,BR,62.6,scattered clouds,-24.79,-50.01,Hotel Buganville Express
109,Porteirinha,BR,71.8,broken clouds,-15.74,-43.03,Portal Palace Hotel
111,Fort Nelson,CA,62.6,scattered clouds,58.81,-122.7,The Fort Nelson Hotel
113,La Orilla,MX,83.95,broken clouds,17.98,-102.23,Hotel Eclipse
114,Esperance,AU,51.8,clear sky,-33.87,121.9,Esperance Central Accommodation
115,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
121,Fortuna,US,60.01,broken clouds,40.6,-124.16,Travel Inn Fortuna
122,Sao Filipe,CV,72.19,clear sky,14.9,-24.5,Hotel Xaguate
124,Kousseri,CM,95.0,overcast clouds,12.08,15.03,Hôtel Préférence Plus
125,Truth Or Consequences,US,72.0,clear sky,33.13,-107.25,Charles Motel
127,Juegang,CN,55.99,overcast clouds,32.32,121.19,Motel Hotel
128,Yabrud,SY,64.4,few clouds,33.97,36.66,
129,Ribeira Grande,PT,60.8,few clouds,38.52,-28.7,Quinta Das Buganvílias
131,Takoradi,GH,82.36,overcast clouds,4.88,-1.76,Raybow International Hotel
132,George,ZA,62.6,clear sky,-33.96,22.46,Two Fat Owls Guesthouse
133,Porto Belo,BR,75.2,few clouds,-27.16,-48.55,Residencial Costa Esmeralda
140,Luanda,AO,80.6,broken clouds,-8.84,13.23,Forum GestHotel
142,Sibolga,ID,76.73,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
144,Panama City,PA,89.6,few clouds,8.99,-79.52,Hotel Riande Granada Urban
145,Puerto Colombia,CO,87.8,smoke,10.99,-74.95,HOTEL MAR AZUL PTO. COL.
146,Bredasdorp,ZA,61.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
147,Chuy,UY,67.44,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
149,Mirabad,AF,72.54,clear sky,30.44,61.84,
151,Mogadishu,SO,84.36,overcast clouds,2.04,45.34,Hotel Juba
153,Cam Ranh,VN,82.4,few clouds,11.92,109.16,Thanh My Cam Ranh hotel
154,Tual,ID,83.97,clear sky,-5.67,132.75,
156,San Patricio,MX,78.8,clear sky,19.22,-104.7,Hotel Monterrey en Melaque
157,Kendari,ID,74.23,broken clouds,-3.94,122.5,Griya Rafas Lalodati
158,Bela Vista,BR,81.55,clear sky,-22.11,-56.52,HOTEL DE LAS FRONTERAS
159,Moshi,TZ,69.8,broken clouds,-3.35,37.33,Sunbird Home
161,Finote Selam,ET,67.57,overcast clouds,10.7,37.27,
163,Broome,US,59.0,light rain,42.25,-75.83,Salisbury Chenango Shores
164,Bardiyah,LY,59.88,clear sky,31.76,25.09,بورتو بردية
166,Mackay,AU,75.0,scattered clouds,-21.15,149.2,Direct Hotels - Pacific Sands
167,Diffa,NE,82.62,scattered clouds,13.32,12.61,ProDAF/Diffa
168,Jalu,LY,72.39,broken clouds,29.03,21.55,Jalu Hotel
169,Port Hueneme,US,64.4,few clouds,34.15,-119.2,Holiday Inn Express Port Hueneme
172,Penaflor,CL,84.99,clear sky,-33.62,-70.92,
174,Mount Gambier,AU,60.8,overcast clouds,-37.83,140.77,Grand Central Motel
175,San Cristobal,VE,91.4,smoke,7.77,-72.22,Posada Pirineos Doña Josefina C.A.
176,Wau,SS,82.65,broken clouds,7.7,28.0,Bubbles Hotel
177,Gat,IL,70.0,clear sky,31.61,34.76,שדרות גת 88 קרית גת
178,Thinadhoo,MV,84.51,overcast clouds,0.53,72.93,
179,Cabo San Lucas,MX,80.01,clear sky,22.89,-109.91,Bahia Hotel & Beach House
180,Beaufort,MY,80.6,broken clouds,5.35,115.75,Rumah Tetamu Kerajaan Beaufort
