City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2020-04-16 03:19:24,37.1,-113.58,66.2,20,1,5.82
1,Pangkalanbuun,ID,2020-04-16 03:18:48,-2.68,111.62,84.69,77,100,2.39
2,Yellowknife,CA,2020-04-16 03:19:25,62.46,-114.35,24.01,79,75,8.05
3,Kodiak,US,2020-04-16 03:19:25,57.79,-152.41,48.2,81,90,6.93
4,Bredasdorp,ZA,2020-04-16 03:19:25,-34.53,20.04,53.6,81,0,3.36
5,Kirovsk,UA,2020-04-16 03:19:25,48.64,38.64,37.78,71,72,11.36
6,Okhotsk,RU,2020-04-16 03:19:26,59.38,143.3,29.35,95,94,5.37
7,Mahebourg,MU,2020-04-16 03:19:26,-20.41,57.7,77.0,78,40,12.75
8,Katsuura,JP,2020-04-16 03:19:26,35.13,140.3,64.99,71,75,13.87
9,Barrow,US,2020-04-16 03:19:26,71.29,-156.79,23.0,85,90,14.99
10,Hilo,US,2020-04-16 03:14:38,19.73,-155.09,78.8,57,75,5.82
11,Puerto Ayora,EC,2020-04-16 03:19:27,-0.74,-90.35,81.0,84,91,1.99
12,Umm Bab,QA,2020-04-16 03:19:27,25.21,50.81,73.0,100,75,10.29
13,Nouadhibou,MR,2020-04-16 03:19:27,20.93,-17.03,64.4,88,45,12.75
14,Havelock,US,2020-04-16 03:19:27,34.88,-76.9,48.2,81,1,6.42
15,Rocha,UY,2020-04-16 03:19:28,-34.48,-54.33,61.57,80,98,15.79
16,Tamiahua,MX,2020-04-16 03:19:28,21.27,-97.45,73.02,87,100,8.55
17,Castro,BR,2020-04-16 03:19:28,-24.79,-50.01,48.27,48,0,2.08
18,Mareeba,AU,2020-04-16 03:19:28,-17.0,145.43,82.4,78,90,5.82
19,Blind River,CA,2020-04-16 03:19:29,46.18,-82.96,28.4,54,1,17.22
20,Tarakan,ID,2020-04-16 03:19:29,3.3,117.63,82.09,70,89,3.67
21,Bacolod,PH,2020-04-16 03:17:11,10.67,122.95,90.52,53,81,5.7
22,Chokurdakh,RU,2020-04-16 03:19:29,70.63,147.92,1.33,92,100,7.49
23,Kassala,SD,2020-04-16 03:19:30,15.45,36.4,62.78,50,0,7.78
24,Sterling,US,2020-04-16 03:19:30,39.01,-77.43,46.4,42,20,6.93
25,Vaini,TO,2020-04-16 03:19:30,-21.2,-175.2,80.6,78,75,5.82
26,Boma,GH,2020-04-16 03:19:31,7.08,-2.17,74.59,89,97,3.0
27,Kapaa,US,2020-04-16 03:19:31,22.08,-159.32,80.6,74,90,11.41
28,Upernavik,GL,2020-04-16 03:18:03,72.79,-56.15,15.96,88,100,4.99
29,Qaanaaq,GL,2020-04-16 03:14:42,77.48,-69.36,5.88,85,38,4.16
30,Smithers,CA,2020-04-16 03:19:32,54.78,-127.17,59.0,26,75,2.24
31,Bisho,ZA,2020-04-16 03:19:32,-32.85,27.44,60.8,82,66,9.17
32,Broome,US,2020-04-16 03:19:33,42.25,-75.83,36.0,92,90,5.82
33,Albany,US,2020-04-16 03:19:33,42.6,-73.97,37.0,59,90,10.29
34,Bluff,NZ,2020-04-16 03:19:33,-46.6,168.33,53.01,74,98,14.0
35,Nantucket,US,2020-04-16 03:19:34,41.28,-70.1,45.0,45,1,8.05
