City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Weather Desc,Rain/Inches,Snow,Wind Speed
0,Lavrentiya,RU,2020-04-18 20:58:07,65.58,-171.0,18.59,95,100,light snow,0,{'3h': 0.88},9.57
1,Bredasdorp,ZA,2020-04-18 20:57:35,-34.53,20.04,53.6,93,46,scattered clouds,0,0,3.36
2,Seoul,KR,2020-04-18 20:56:52,37.57,126.98,51.8,87,75,broken clouds,0,0,4.54
3,Albany,US,2020-04-18 21:01:45,42.6,-73.97,46.0,62,93,light rain,{'3h': 0.49},0,6.87
4,Atuona,PF,2020-04-18 20:57:39,-9.8,-139.03,82.47,79,89,light rain,{'3h': 0.62},0,18.37
5,Rikitea,PF,2020-04-18 21:01:50,-23.12,-134.97,77.09,73,18,few clouds,0,0,7.54
6,Ashtian,IR,2020-04-18 21:01:50,34.52,50.0,50.9,32,100,light rain,{'3h': 0.18},0,4.79
7,Port Alfred,ZA,2020-04-18 20:57:15,-33.59,26.89,64.0,95,0,clear sky,0,0,5.01
8,Half Moon Bay,US,2020-04-18 20:58:23,37.46,-122.43,66.0,67,90,overcast clouds,0,0,9.17
9,Dingle,PH,2020-04-18 20:57:36,11.0,122.67,78.66,82,2,clear sky,0,0,9.37
10,Carnarvon,AU,2020-04-18 20:57:11,-24.87,113.63,73.4,88,54,broken clouds,0,0,12.75
11,Lebu,CL,2020-04-18 20:58:25,-37.62,-73.65,61.65,72,34,scattered clouds,0,0,5.7
12,Mecca,SA,2020-04-18 20:58:17,21.43,39.83,77.09,44,100,overcast clouds,0,0,3.04
13,Mar Del Plata,AR,2020-04-18 20:59:24,-38.0,-57.56,73.99,53,1,clear sky,0,0,11.41
14,Saint-Philippe,RE,2020-04-18 20:57:12,-21.36,55.77,77.0,83,20,few clouds,0,0,9.17
15,Shitanjing,CN,2020-04-18 21:01:52,39.23,106.34,48.0,45,0,clear sky,0,0,3.0
16,Padilla,CO,2020-04-18 20:57:56,3.22,-76.31,82.4,58,75,broken clouds,0,0,11.41
17,Tautira,PF,2020-04-18 20:56:56,-17.73,-149.15,86.0,70,78,light rain,{'3h': 1.38},0,4.7
18,Ribeira Grande,PT,2020-04-18 20:53:12,38.52,-28.7,62.6,93,75,light intensity shower rain,0,0,18.34
19,Portland,US,2020-04-18 20:58:19,45.52,-122.68,54.0,81,90,light rain,{'1h': 0.35},0,10.29
20,Sechura,PE,2020-04-18 20:53:58,-5.56,-80.82,78.21,64,0,clear sky,0,0,10.09
